budget_year,ministry,department_or_org,strength_actual_1mar,strength_actual_year,strength_est_re_1mar,strength_est_re_year,strength_est_be_1mar,strength_est_be_year,pay_actuals_cr,allowances_actuals_cr,travel_actuals_cr,pay_re_cr,allowances_re_cr,travel_re_cr,pay_be_cr,allowances_be_cr,travel_be_cr
2016-17,Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",3681,2015,5348,2016,5287,2017,118.16,113.53,10.46,117.05,126.81,13.85,137.30,154.83,18.05
2016-17,Ministry of Agriculture and Farmers Welfare,Department of Agricultural Research and Education,44,2015,49,2016,49,2017,1.31,1.69,0.10,1.49,2.16,0.11,1.70,2.46,0.13
2016-17,Ministry of Agriculture and Farmers Welfare,"Department of Animal Husbandry, Dairying & Fisheries",2578,2015,2703,2016,2715,2017,71.55,62.55,3.63,72.10,75.57,4.13,99.77,85.90,4.97
2016-17,Department of Atomic Energy,Atomic Energy,31672,2015,34420,2016,38025,2017,924.87,1581.09,37.56,872.51,1745.16,43.81,995.46,2041.05,50.04
2016-17,"Ministry of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)","Ministry of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",179,2015,264,2016,264,2017,5.98,7.30,0.79,6.26,7.64,2.10,8.92,10.90,2.10
2016-17,Ministry of Chemicals and Fertilisers,Department of Chemicals and Petrochemicals,144,2015,207,2016,207,2017,3.65,4.60,1.34,4.37,5.52,1.61,4.75,6.00,1.75
2016-17,Ministry of Chemicals and Fertilisers,Department of Fertilisers,207,2015,253,2016,263,2017,5.80,8.50,0.76,7.36,10.49,0.08,10.39,12.4,0.08
2016-17,Ministry of Chemicals and Fertilisers,Department of Pharmaceuticals,46,2015,54,2016,54,2017,2.78,3.40,0.1,3.59,4.04,0.75,3.95,4.24,1.35
2016-17,Ministry of Civil Aviation,Ministry of Civil Aviation,1060,2015,1974,2016,2140,2017,69.40,39.83,6.12,76.65,38.11,8.07,111.01,65.44,9.70
2016-17,Ministry of Coal,Ministry of Coal,298,2015,421,2016,427,2017,7.45,11.40,1.29,8.56,13.51,1.44,9.98,16.17,1.89
2016-17,Ministry of Commerce and Industry,Department of Commerce,7003,2015,7237,2016,7237,2017,177.00,184.79,20.94,181.38,188.78,27.08,210.40,218.98,27.47
2016-17,Ministry of Commerce and Industry,Department of Industrial Policy and Promotion,2138,2015,2947,2016,3016,2017,49.50,74.27,4.00,52.46,78.09,3.19,61.30,91.11,5.34
2016-17,Ministry of Communications and Information Technology,Department of Posts,460457,2015,469268,2016,469268,2017,4076.20,7550.11,83.71,4443.05,8083.35,87.02,11554.30,2976.70,91.77
