state,fy,lib_receipts_cr,lib_rev_exp_cr,lib_cap_exp_cr,lib_loans_cr,gp_assist_cr,zp_assist_cr,cap_to_rev_pct,rev_self_validated,cap_self_validated,gp_assist_self_validated,zp_assist_self_validated,source_statement,source_url,cap_source_line,rev_source_line,gp_assist_source_line,zp_assist_source_line
Meghalaya,2021-22,0.0066,3.8335,0.0319,,,,0.83,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2021-22-GoMeghalaya-06422c0fdceef90-77312363.pdf,Total 105                                        3.19         ...         ...         ... ,105 Public Libraries                               …       383.35          …         383.3,,
Meghalaya,2022-23,0.1398,4.319,0.12,,,,2.78,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-Meghalaya-065ddc9531cdb03-98896683.pdf,Total 105                                      ...      12.00            ...      12.00   ,105 Public Libraries                             …     431.90            …      431.90    ,,
Meghalaya,2023-24,0.1476,4.3532,1.7629,,,,40.5,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Signed-Finance-Accounts-Vol-II-2023-24-067d2cdc0b45c87-35051094.pdf,Total 105                                         12.00       176.29             ...     1,105 Public Libraries                             …     435.32         …      435.32       ,,
Meghalaya,2024-25,0.1605,4.5969,1.7629,,,,38.35,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2024-25-069a18518ae72a9-23127203.pdf,Total 105                                                      176.29               …     ,105 Public Libraries                                       …          459.69             …,,
Mizoram,2023-24,0.0031,1.8779,,,,,,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-Volume-II-2023-24-06810b5976d1b53-48301577.pdf,105 Public Libraries                                           …           …             …,105    Public Libraries                                         187.79                    ,,
Nagaland,2023-24,,0.7668,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-2023-24-Vol-II-Ngagaland-7-02-2025-067cfd644ac9668-13339494.pdf,,105- Public Libraries                                                 76.68              .,,
Odisha,2023-24,,5.0408,,,,,,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-067543db0c84406-46036372.pdf,105- Public Libraries,105- Public Libraries                                        375.97              128.11   ,,
Punjab,2023-24,0.1084,3.9783,0.7956,,,,20.0,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-Vol-II-2023-24-with-covers-067eb7adbf32a49-64892081.pdf,105 Public Libraries                                                        ..            ,105 Public Libraries                                                                 ..   ,,
Sikkim,2023-24,,2.1169,,,,,,False,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-Vol-II-Placed-on-28-03-2025-in-the-House-067ee64a6761211-94704711.pdf,,105    Public Libraries                                                     211.69        ,,
Tamil Nadu,2021-22,6.4954,152.1415,18.23,0.001,,,11.98,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FINANCE-ACCOUNTS-2021-22-VOLUME-II-063ce7b89b45f10-33952371.pdf,105         Public Libraries                                                     ..       ,"105 Public Libraries                                           V                    15,214",,
